                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    126,                 1.5514,                0.79266,                 1.1163,                 0.8618,                0.67989,                0.78593,                0.46345,                 1.3942,                0.69864,                 1.0595,              0.0003632,              0.0003632,              0.0003632
                    127,                 1.5478,                0.78491,                 1.1178,                0.85696,                0.68582,                0.79042,                0.46547,                 1.3964,                0.69972,                 1.0602,                0.00035,                0.00035,                0.00035
                    128,                 1.5296,                0.78447,                  1.118,                0.85657,                0.68407,                0.78889,                0.46328,                 1.4038,                0.69975,                 1.0633,              0.0003368,              0.0003368,              0.0003368
                    129,                 1.5521,                0.79126,                 1.1144,                0.85805,                0.68231,                0.78812,                0.46633,                 1.3875,                0.69906,                 1.0593,              0.0003236,              0.0003236,              0.0003236
                    130,                 1.5101,                0.77658,                 1.1108,                0.85802,                0.68686,                0.78972,                 0.4654,                 1.3991,                0.69402,                 1.0609,              0.0003104,              0.0003104,              0.0003104
                    131,                 1.5466,                0.79326,                 1.1141,                0.86059,                0.68473,                0.79039,                0.46935,                 1.3843,                0.69204,                 1.0562,              0.0002972,              0.0002972,              0.0002972
                    132,                 1.5262,                0.78388,                 1.1147,                0.86075,                0.68434,                0.78986,                0.46852,                 1.3805,                0.69706,                 1.0558,               0.000284,               0.000284,               0.000284
                    133,                 1.5375,                0.78948,                 1.1192,                 0.8578,                0.68393,                0.78912,                0.46973,                 1.3822,                0.68706,                 1.0541,              0.0002708,              0.0002708,              0.0002708
                    134,                 1.5543,                0.79886,                  1.116,                0.86381,                 0.6809,                0.78947,                0.46593,                 1.3956,                0.69767,                 1.0579,              0.0002576,              0.0002576,              0.0002576
                    135,                 1.5103,                0.77489,                 1.1032,                0.86449,                0.68784,                0.79242,                0.47309,                 1.3663,                0.69005,                 1.0494,              0.0002444,              0.0002444,              0.0002444
                    136,                 1.5281,                0.77482,                 1.1011,                0.86781,                0.68812,                0.79345,                0.47537,                 1.3602,                0.68269,                 1.0477,              0.0002312,              0.0002312,              0.0002312
                    137,                   1.49,                0.76058,                 1.1016,                0.86319,                0.68616,                0.79137,                0.47136,                 1.3675,                0.68529,                 1.0502,               0.000218,               0.000218,               0.000218
                    138,                 1.4672,                0.75003,                 1.0904,                0.86443,                0.69257,                0.79486,                0.47598,                 1.3527,                0.68521,                 1.0474,              0.0002048,              0.0002048,              0.0002048
                    139,                 1.5021,                0.77817,                 1.1051,                0.86029,                0.68942,                0.79432,                0.47675,                 1.3608,                0.68341,                 1.0476,              0.0001916,              0.0001916,              0.0001916
                    140,                 1.4732,                 0.7471,                 1.0979,                0.86179,                0.69071,                0.79395,                0.47527,                 1.3593,                0.68427,                 1.0481,              0.0001784,              0.0001784,              0.0001784
                    141,                 1.5779,                0.80582,                 1.1272,                0.85616,                0.68596,                0.78779,                0.46466,                 1.3864,                0.69685,                  1.056,              0.0001652,              0.0001652,              0.0001652
                    142,                  1.515,                0.77218,                 1.1152,                 0.8542,                0.67918,                0.78325,                0.46139,                  1.383,                0.70368,                 1.0586,               0.000152,               0.000152,               0.000152
                    143,                 1.4873,                0.75582,                    1.1,                0.85523,                0.68428,                0.78606,                0.45947,                 1.3959,                0.70445,                 1.0614,              0.0001388,              0.0001388,              0.0001388
                    144,                 1.4967,                0.76081,                 1.1067,                0.85961,                0.68372,                 0.7883,                0.46097,                  1.397,                0.69994,                 1.0597,              0.0001256,              0.0001256,              0.0001256
                    145,                 1.4871,                0.75851,                 1.1006,                0.85428,                0.68554,                0.78804,                0.46157,                   1.39,                0.70219,                  1.058,              0.0001124,              0.0001124,              0.0001124
                    146,                 1.4779,                0.74858,                 1.0983,                0.86072,                0.68286,                 0.7875,                0.46261,                 1.3862,                0.69572,                 1.0567,               9.92e-05,               9.92e-05,               9.92e-05
                    147,                 1.4551,                 0.7403,                 1.0834,                0.85866,                0.68443,                0.78937,                0.46651,                 1.3768,                0.69236,                 1.0545,                8.6e-05,                8.6e-05,                8.6e-05
                    148,                 1.4573,                0.73934,                 1.0883,                0.86048,                0.68238,                0.78999,                0.46762,                 1.3752,                0.68925,                 1.0535,               7.28e-05,               7.28e-05,               7.28e-05
                    149,                 1.4555,                0.73958,                 1.0889,                0.86224,                0.68037,                0.78972,                 0.4682,                 1.3737,                0.68806,                 1.0525,               5.96e-05,               5.96e-05,               5.96e-05
